,station_train_code,train_no,class,on,off
8231,K8288(日照-济南),47000K828802,K,日照,济南
8232,K8321(聊城-济南),47000K832402,K,聊城,济南
8233,K8322(济南-聊城),47000K832201,K,济南,聊城
8234,K8323(济南-聊城),47000K832201,K,济南,聊城
8235,K8324(聊城-济南),47000K832402,K,聊城,济南
8236,K8351(连云港东-杭州),48000K835401,K,连云港东,杭州
8237,K8352(杭州-连云港东),56000K835211,K,杭州,连云港东
8238,K8353(杭州-连云港东),56000K835211,K,杭州,连云港东
8239,K8354(连云港东-杭州),48000K835401,K,连云港东,杭州
8240,K8355(连云港东-上海),48000K8358B4,K,连云港东,上海
8241,K8356(上海-连云港东),55000K8356C0,K,上海,连云港东
8242,K8357(上海-连云港东),55000K8356C0,K,上海,连云港东
8243,K8358(连云港东-上海),48000K8358B4,K,连云港东,上海
8244,K8360(合肥-淮北),53000K8360D2,K,合肥,淮北
8245,K8361(阜阳-上海南),53000K8361H3,K,阜阳,上海南
8246,K8362(上海南-阜阳),55000K8362G4,K,上海南,阜阳
8247,K8363(上海南-阜阳),55000K8362G4,K,上海南,阜阳
8248,K8364(阜阳-上海南),53000K8361H3,K,阜阳,上海南
8249,K8365(阜阳-上海),53000K836570,K,阜阳,上海
8250,K8366(上海-亳州),55000K836671,K,上海,亳州
8251,K8367(上海-亳州),55000K836671,K,上海,亳州
8252,K8371(徐州-开化),48000K837130,K,徐州,开化
8253,K8372(开化-淮北),56000K8372C0,K,开化,淮北
8254,K8373(徐州-连云港东),48000K837310,K,徐州,连云港东
8255,K8379(徐州-连云港东),48000K8379BC,K,徐州,连云港东
8256,K8380(连云港东-徐州),48000K8380CA,K,连云港东,徐州
8257,K8381(合肥-黄山),53000K838110,K,合肥,黄山
8258,K8382(黄山-合肥),54000K838212,K,黄山,合肥
8259,K8385(亳州-上海),53000K838551,K,亳州,上海
8260,K8386(上海-阜阳),55000K838640,K,上海,阜阳
8261,K8387(上海-阜阳),55000K838640,K,上海,阜阳
8262,K8399(徐州-连云港东),48000K839903,K,徐州,连云港东
8263,K8401(亳州-温州),53000K8401C0,K,亳州,温州
8264,K8402(温州-阜阳),5a000K8402F0,K,温州,阜阳
8265,K8403(温州-阜阳),5a000K8402F0,K,温州,阜阳
8266,K8409(淮北-黄山),53000K8409A2,K,淮北,黄山
8267,K8410(黄山-合肥),54000K8410K0,K,黄山,合肥
8268,K8411(连云港东-芜湖),48000K841463,K,连云港东,芜湖
8269,K8412(芜湖-连云港东),54000K841273,K,芜湖,连云港东
8270,K8413(芜湖-连云港东),54000K841273,K,芜湖,连云港东
8271,K8414(连云港东-芜湖),48000K841463,K,连云港东,芜湖
8272,K8415(亳州-合肥),53000K841582,K,亳州,合肥
8273,K8416(合肥-亳州),53000K841662,K,合肥,亳州
8274,K8417(黄山-上海),54000K8420B3,K,黄山,上海
8275,K8418(上海-黄山),55000K8418G1,K,上海,黄山
8276,K8419(上海-黄山),55000K8418G1,K,上海,黄山
8277,K8420(黄山-上海),54000K8420B3,K,黄山,上海
8278,K8421(淮北-芜湖),53000K842163,K,淮北,芜湖
8279,K8422(合肥-淮北),53000K842263,K,合肥,淮北
8280,K8424(芜湖-合肥),54000K842443,K,芜湖,合肥
8281,K8425(阜阳-合肥),53000K842551,K,阜阳,合肥
8282,K8426(合肥-阜阳),53000K842660,K,合肥,阜阳
8283,K8427(淮北-上海),53000K842722,K,淮北,上海
8284,K8428(上海-淮北),55000K842822,K,上海,淮北
8285,K8431(淮北-上海),53000K843170,K,淮北,上海
8286,K8432(上海-徐州),55000K843282,K,上海,徐州
8287,K8433(宿松-杭州),59000K8436A3,K,宿松,杭州
8288,K8434(杭州-宿松),56000K843414,K,杭州,宿松
8289,K8435(杭州-宿松),56000K843414,K,杭州,宿松
8290,K8436(宿松-杭州),59000K8436A3,K,宿松,杭州
